backward_iat_max,,,,,,,,
backward_iat_mean,,,,,,,,
backward_iat_min,,,,,,,,
backward_iat_std,,,,,,,,
backward_iat_total,,,,,,,,
backward_packet_length_max,,,,,,,,
backward_packet_length_mean,,,,,,,,
backward_packet_length_min,,,,,,,,
backward_packet_length_std,,,,,,,,
bpkts_per_second,,,,,,,,
flow_ack,,,,,,,,
flow_cwr,,,,,,,,
flow_ece,,,,,,,,
flow_fin,,,,,,,,
flow_iat_max,,,,,,,,
flow_iat_min,flow_iat_max,,,,,,,
flow_iat_total,flow_iat_min,flow_iat_max,,,,,,
flow_iat_total,flow_iat_min,flow_iat_max,forward_iat_max,,,,,
forward_iat_min,flow_iat_total,forward_iat_max,flow_iat_min,flow_iat_max,,,,
forward_iat_total,forward_iat_min,flow_iat_total,forward_iat_max,flow_iat_min,flow_iat_max,,,
flow_iat_mean,,,,,,,,
flow_iat_std,flow_iat_mean,,,,,,,
forward_iat_mean,flow_iat_std,flow_iat_mean,,,,,,
forward_iat_std,forward_iat_mean,flow_iat_std,flow_iat_mean,,,,,
flow_packets_per_second,,,,,,,,
flow_protocol,flow_packets_per_second,,,,,,,
flow_protocol,forward_packet_length_max,flow_packets_per_second,,,,,,
forward_packet_length_mean,flow_protocol,forward_packet_length_max,flow_packets_per_second,,,,,
forward_packet_length_min,forward_packet_length_mean,flow_protocol,forward_packet_length_max,flow_packets_per_second,,,,
forward_packet_length_min,forward_packet_length_mean,flow_protocol,forward_packet_length_max,fpkts_per_second,flow_packets_per_second,,,
forward_packet_length_min,forward_packet_length_mean,flow_protocol,total_bhlen,forward_packet_length_max,fpkts_per_second,flow_packets_per_second,,
forward_packet_length_max,total_forward_packets,fpkts_per_second,forward_packet_length_min,forward_packet_length_mean,flow_protocol,total_bhlen,flow_packets_per_second,
total_length_of_forward_packets,forward_packet_length_max,total_forward_packets,fpkts_per_second,forward_packet_length_min,forward_packet_length_mean,flow_protocol,total_bhlen,flow_packets_per_second
flow_psh,,,,,,,,
flow_psh,forward_packet_length_std,,,,,,,
flow_rst,,,,,,,,
flow_syn,,,,,,,,
flow_urg,,,,,,,,
total_backward_packets,,,,,,,,
total_fhlen,,,,,,,,
total_length_of_backward_packets,,,,,,,,
